id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm
6HU39532AY286991Y,25/07/2020 10:20,10.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC19069438469,25/07/2020 10:19,160.0,True,False,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC19069425496,25/07/2020 10:13,100.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18069668337,25/07/2020 09:54,25.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
ICC19069355295,25/07/2020 09:46,25.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
22E219744W364863X,25/07/2020 09:43,20.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
ICC19069346564,25/07/2020 09:42,25.0,True,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC19069328731,25/07/2020 09:35,30.0,False,True,Yemen Crisis Appeal,WorldPay,154745,Yemen Crisis Appeal,google,cpc,Donate Landing_,Donation,
ICC18069517609,25/07/2020 08:53,100.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
ICC18069513487,25/07/2020 08:52,50.0,False,False,UK Coronavirus Response,WorldPay,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
ICC18069509302,25/07/2020 08:50,25.0,False,False,Global Coronavirus Appeal,WorldPay,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Young Internationalists,
3JK353374F234962R,25/07/2020 08:38,10.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC18069316403,25/07/2020 07:25,100.0,True,True,Yemen Crisis Appeal,WorldPay,170463,Yemen Crisis Appeal,,,,,
ICC19069006611,25/07/2020 07:21,200.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Copy 1_COVID-19 appeal,Emergency Donors,OptInNotReshown
